,Node,X_i*,Cost,Global Cost
0,0,[ 0.86682059  8.62974765  6.56987558  1.61130808 -6.43365179],7539.918231617066,81.18768831972017
1,1,[ 1.99709407  5.4022658   3.50254923  0.90037125 -5.41173977],7338.270320565966,37.769153651290665
2,2,[-0.08292778  7.26706056  3.29063984  1.65003504 -5.46314423],7343.6338275601665,48.106958634140945
3,3,[ 1.66218489  6.44307697  2.03143448  0.50883226 -4.06834317],7421.476797950049,32.60657599175535
4,4,[-0.18539216  8.36690768  3.80271815  0.60581274 -6.86470931],7265.153069162901,65.99571133264539
5,5,[  1.72823633  15.07906642   1.69488352   1.62211751 -12.86271467],5996.424192827993,200.6591845469045
6,6,[ 0.20630415  3.86807562  2.68480524  0.8806295  -2.53404471],8090.271460044329,14.704820220318256
7,7,[ 2.17398423  9.46604061  2.53633599  1.65605836 -3.42706366],7823.714871358234,57.626213521621146
8,8,[ 0.44635704  9.68577179 -0.2178548   0.90063105 -5.87631042],7867.522135957624,64.70151550161825
9,9,[-1.12592323  6.11030521  1.70917581 -0.38749797 -2.9273694 ],7645.769207866215,25.122230582041034
10,10,[ 0.96962491  8.47393626 -0.37644035  0.83369754 -3.85367392],7653.404409308396,44.21766492365205
11,11,[ 2.41929902  4.64375314  6.5036929   1.26654953 -8.29904813],6792.837588952334,70.0969099800532
12,12,[ 0.41353423  7.48618835 -1.16511914  1.23654693 -2.49220946],7157.228001629451,32.65584270525786
13,13,[ 3.52735933 -1.44561296  4.72694985  0.53283382 -3.66208175],8224.271160698205,25.285435106304988
14,14,[  0.05948278  14.24404955   4.0931285    1.09975287 -11.54333225],7110.720593409718,177.05408125772527
15,15,[ 0.2637132   7.43314855 -0.08211352  0.87989954 -3.33184953],6816.337781044186,33.60171458858826
16,16,[ 2.86130029  5.89537225  3.71625308  0.91969482 -6.67964245],7672.603392974866,51.108226037489686
17,17,[-0.22884919  0.8114717   3.54243113  0.66750693 -1.60817729],8995.42281871104,8.145738146507824
18,18,[ 1.11842453  3.62099377  2.77595628  1.33448721 -4.22290392],7564.758286955144,20.841088113368713
19,19,[ 1.60915492  6.08187742  2.72003916  1.46571999 -3.32564923],8415.41164776383,30.092751737283958
