,Node,X_i*,Cost,Global Cost
0,0,[ 1.11459068  3.9434281   5.24345188  1.75980998 -5.00706352],1565.3775987152314,36.22717069561713
1,1,[ 1.95753244  4.71435585  3.5062023   0.84526529 -5.00364422],1493.6138458119508,32.0507338972928
2,2,[-0.01378135  6.17052901  4.0885291   1.70025797 -5.03872681],1498.346207771889,41.53566672197858
3,3,[ 1.58212872  6.06046622  1.84663562  0.59112356 -3.87746055],1508.2331228371781,29.013286297411973
4,4,[-0.03972436  7.15724595  3.31707013  0.77772218 -6.05569376],1497.3673979387675,49.75349024903099
5,5,[ 2.09770486  8.39483845  2.83260146  1.4865532  -8.37492255],1317.2743315917016,77.62323874686757
6,6,[ 0.13377875  3.73097538  2.60495269  0.70697375 -2.40407252],1628.6267917641303,13.501614560418794
7,7,[ 2.0660715   3.85391172  2.35880123  1.67570798 -2.6824622 ],1603.6359385717303,17.344415486419518
8,8,[ 1.24979234  7.23739743  0.27909954  1.01176908 -4.89648199],1612.6749893606188,39.50950571943908
9,9,[-1.09639934  5.56423642  1.83826389 -0.45564718 -2.65487748],1545.057080279166,21.39901068585703
10,10,[ 1.16608982  7.55056745 -0.09443946  0.75323126 -3.72227501],1561.8310960547867,36.401220854388576
11,11,[ 2.59205459  3.88614134  5.42968606  1.19006379 -7.28575331],1408.8871852551138,52.90039268053256
12,12,[ 0.14100191  7.3021121  -0.32888682  1.30829258 -2.82192599],1431.0103865973401,31.561892459265668
13,13,[ 3.36062386 -1.28280358  4.31845891  0.4316589  -3.36361719],1660.3370496115604,21.544357580375483
14,14,[ 0.15274089  7.39729686  4.77151036  1.18769511 -6.92935988],1536.1473855730296,63.46864487456608
15,15,"[ 1.17675499e-01  7.15678686e+00  5.54084368e-03  8.70105982e-01
 -3.21089032e+00]",1390.6119789251377,31.150188762618036
16,16,[ 2.76058364  2.53864929  4.17627872  0.89450823 -4.34325749],1566.0801401601113,25.58544840150496
17,17,[-0.08249164  0.80720632  3.5872669   0.67090255 -1.66256165],1805.224736765651,8.370546108778942
18,18,[ 1.24570097  2.95686219  2.78185886  1.31945321 -3.89555892],1526.3921271406862,17.474939854668758
19,19,[ 1.75355686  2.80405743  3.08145599  1.43383564 -3.13392945],1703.461696153619,16.155234602269488
