,Node,X_i*,Cost,Global Cost
0,0,[-0.75165854  4.29218458  1.69190183  1.75582069 -3.95517357],1451.8693040853093,20.28833753367053
1,1,[-0.60357932  3.06440978  2.09144882  0.98027694 -3.03371665],1752.844921902356,12.146726532598333
2,2,[ 0.73995697  3.58376188 -0.05481626  1.74406066 -3.00415717],1595.8088742173632,12.730299128279832
3,3,[ 1.76550473  8.08043134  0.53668481  0.39623283 -6.65396544],1528.113042400627,56.565332334897874
4,4,[ 1.64320005  4.54046055  4.33667504  0.61341218 -3.55182775],1371.8386249989533,27.55719682063944
5,5,[ 4.57639018  7.05550477 -1.00806617  0.90960597 -3.05898637],1376.0750839910345,40.96223635632622
6,6,[ 0.00692237  0.22673917  0.23587664  1.97995874 -1.17257592],1542.6779513925235,2.7011336373974926
7,7,[-0.75370288  5.75106598  1.65870358  1.29938446 -4.82219975],1526.5586895875672,30.668067942284946
8,8,[ 1.46871152  2.55837202  3.79097578  0.7292835  -2.80032873],1699.8198245886445,15.723786823775601
9,9,"[-5.96585881e-03  6.34432895e+00  1.63042424e+00  1.35586736e+00
 -3.61818425e+00]",1380.4214328418618,28.91923106053163
10,10,[ 0.53212387  9.85259299  1.7235854   1.29887125 -7.301543  ],1208.128831928383,77.66354387042651
11,11,[ 3.4759209   5.80951932 -0.24706704  0.48371844 -3.69750351],1579.9035026792085,29.899549316555674
12,12,[ 0.92626055  5.66128743  1.02571428  1.52493682 -4.96420773],1556.7883425419097,30.464507231648817
13,13,[ 3.0643146   2.60601063  1.75984944  0.99317131 -2.46763548],1592.6469208890915,13.176999770335925
14,14,[ 1.25026273  2.45379735  3.4947239   1.64525384 -4.39684033],1627.7429045548718,20.91821927988814
15,15,[-0.88131828  7.30912842  0.1047589   1.22330443 -4.97989572],1636.6731179451742,40.25344486311873
16,16,[ 0.61149521  6.74290257  0.10770943  1.20278973 -3.65542332],1254.3748080232474,30.33054274642821
17,17,[-2.13667328  6.71726843  2.38342017  0.5566339  -4.60866369],1667.634605158875,38.45869094728117
18,18,[ 1.20148931  6.58711984  2.23735815  1.41609857 -6.38673349],1314.453968637498,46.3175978332599
19,19,[-0.21687236  8.35304746  3.12601908  1.9540591  -7.39008389],1342.8903301815692,69.01205880813433
