,Accuracy,Node,AUC-ROC,Cost Reduction
0,0.625,0,0.625,229500
1,0.69,1,0.69,300900
2,0.675,2,0.675,285600
3,0.665,3,0.6650000000000001,270300
4,0.665,4,0.665,285600
5,0.685,5,0.6849999999999999,331500
6,0.7,6,0.7000000000000002,306000
7,0.705,7,0.7050000000000001,270300
8,0.675,8,0.675,295800
9,0.67,9,0.67,255000
10,0.725,10,0.7250000000000001,306000
11,0.61,11,0.61,260100
12,0.65,12,0.6500000000000001,255000
13,0.595,13,0.595,219300
14,0.72,14,0.72,290700
15,0.675,15,0.675,285600
16,0.675,16,0.675,321300
17,0.675,17,0.675,316200
18,0.65,18,0.65,275400
19,0.64,19,0.64,239700
