,Accuracy,Node,AUC-ROC,Cost Reduction
0,0.71,0,0.7100000000000001,321300
1,0.685,1,0.6849999999999999,255000
2,0.625,2,0.625,219300
3,0.75,3,0.7500000000000001,316200
4,0.68,4,0.68,316200
5,0.65,5,0.65,280500
6,0.565,6,0.5650000000000001,163200
7,0.69,7,0.6900000000000001,285600
8,0.67,8,0.67,295800
9,0.74,9,0.74,331500
10,0.645,10,0.645,270300
11,0.715,11,0.715,341700
12,0.705,12,0.7050000000000001,336600
13,0.625,13,0.625,229500
14,0.68,14,0.68,249900
15,0.655,15,0.655,280500
16,0.675,16,0.6749999999999999,290700
17,0.62,17,0.6199999999999999,255000
18,0.68,18,0.68,326400
19,0.68,19,0.68,306000
