,Accuracy,Node,AUC-ROC,Cost Reduction
0,0.72,0,0.7200000000000001,336600
1,0.675,1,0.675,260100
2,0.615,2,0.615,198900
3,0.75,3,0.7500000000000001,316200
4,0.69,4,0.6900000000000002,306000
5,0.66,5,0.66,280500
6,0.55,6,0.55,163200
7,0.675,7,0.675,265200
8,0.665,8,0.6649999999999999,290700
9,0.725,9,0.7249999999999999,311100
10,0.64,10,0.64,280500
11,0.725,11,0.725,351900
12,0.7,12,0.7,321300
13,0.635,13,0.6349999999999999,224400
14,0.635,14,0.6349999999999999,214200
15,0.66,15,0.66,295800
16,0.675,16,0.6749999999999999,290700
17,0.635,17,0.635,265200
18,0.665,18,0.6649999999999999,300900
19,0.665,19,0.665,280500
